,Referee,no_of_rounds,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,Gender
0,Marc Goddard,5,0.0,4.0,0.0,17.0,11.0,75.0,26.5,9.4,6.5,74.2,23.9,0.4,5.3,3.7,1.2,0.0,101.4,44.0,0.466,5.3,1.9,0.45799999999999996,129.9,69.1,4.0,2.0,7.5,5.1,90.5,26.8,0.8,0.3,76.1,17.3,0.1,9.4,6.1,0.0,0.0,98.8,32.2,0.336,0.9,0.1,0.05,110.5,43.3,27.0,742.6,3.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,Orthodox,162.56,162.56,135.0,32.0,1
2,Dan Miragliotta,3,0.0,11.0,0.0,2.8666666666666667,1.7333333333333334,116.13333333333334,49.46666666666667,5.333333333333333,4.266666666666667,96.73333333333332,35.6,0.2,13.733333333333333,11.2,0.3333333333333333,0.13333333333333333,124.33333333333331,55.46666666666667,0.43,0.9333333333333332,0.4,0.2773333333333333,133.0,63.4,11.0,1.0,2.8,0.7333333333333333,91.06666666666666,32.2,4.866666666666666,2.8,78.26666666666667,23.2,0.26666666666666666,6.0,4.4,0.3333333333333333,0.13333333333333333,98.73333333333332,35.73333333333333,0.34,2.8666666666666667,0.6666666666666666,0.13133333333333336,102.13333333333334,38.6,33.0,604.4,2.0,0.0,1.0,3.0,3.0,6.0,1.0,14.0,Orthodox,180.34,193.04,155.0,35.0,1
3,Kevin MacDonald,3,1.0,0.0,0.0,5.875,4.125,104.875,41.0,1.0,0.625,80.5,24.0,0.375,13.0,11.5,0.125,0.0,111.75,45.75,0.36625,2.25,0.625,0.10375,117.375,50.75,5.0,2.0,6.875,5.625,103.125,38.5,0.875,0.75,77.375,20.375,0.125,13.25,11.125,0.0,0.0,110.875,44.875,0.44625,2.375,0.0,0.0,115.125,48.875,20.0,690.25,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.0,Orthodox,162.56,172.72,135.0,29.0,1
4,Dan Miragliotta,3,1.0,0.0,0.0,11.0,7.25,50.75,24.75,0.5,0.5,50.75,22.75,0.5,3.75,3.0,0.25,0.0,62.25,32.5,0.545,0.5,0.0,0.0,63.5,32.75,3.0,1.0,4.5,3.5,42.75,16.25,7.75,2.75,43.25,14.0,0.25,5.5,3.75,0.75,0.0,55.0,22.5,0.3975,1.0,0.0,0.0,60.5,27.75,7.0,440.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Southpaw,187.96,190.5,264.0,26.0,1
6,Marc Goddard,3,0.0,3.0,0.0,14.0,11.083333333333336,72.58333333333333,29.41666666666667,16.083333333333332,11.75,63.0,23.33333333333333,0.0,14.5,10.666666666666666,1.5,0.08333333333333333,102.66666666666669,52.25,0.49,5.333333333333333,1.75,0.4175,138.33333333333334,85.75,4.0,3.0,5.75,4.0,51.0,12.916666666666664,1.8333333333333333,1.1666666666666667,43.41666666666666,8.916666666666666,0.25,6.25,4.5,0.8333333333333334,0.08333333333333333,58.58333333333334,18.08333333333333,0.3058333333333333,2.25,1.0833333333333333,0.25166666666666665,80.58333333333333,37.833333333333336,32.0,750.6666666666665,0.0,0.0,0.0,5.0,1.0,3.0,0.0,9.0,Orthodox,170.18,180.34,135.0,29.0,1
8,Dan Miragliotta,3,0.0,1.0,0.0,7.2,6.4,54.26666666666666,21.2,6.933333333333334,4.666666666666667,45.93333333333333,15.266666666666667,0.13333333333333333,14.133333333333333,10.266666666666667,0.6666666666666666,0.4,68.4,32.266666666666666,0.478,3.733333333333333,1.0666666666666669,0.3013333333333333,80.0,43.53333333333333,4.0,5.0,7.466666666666668,5.133333333333334,59.86666666666667,21.266666666666666,3.466666666666667,2.8666666666666667,56.13333333333333,19.266666666666666,0.2,5.666666666666668,4.2,0.9333333333333332,0.0,70.8,29.266666666666666,0.402,2.0,1.1333333333333333,0.38,88.66666666666669,45.2,34.0,624.0666666666667,1.0,0.0,0.0,3.0,4.0,3.0,0.0,10.0,Orthodox,172.72,180.34,145.0,37.0,1
10,Marc Goddard,3,1.0,0.0,0.0,18.0,12.0,139.0,56.0,0.0,0.0,100.0,27.0,0.0,48.0,37.0,0.0,0.0,157.0,68.0,0.43,0.0,0.0,0.0,168.0,77.0,0.0,1.0,0.0,0.0,88.0,39.0,0.0,0.0,48.0,13.0,1.0,27.0,21.0,0.0,0.0,88.0,39.0,0.44,0.0,0.0,0.0,91.0,42.0,3.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,200.66,185.0,28.0,1
11,Kevin MacDonald,3,2.0,0.0,0.0,2.6666666666666665,1.75,119.75,31.0,5.333333333333333,3.0,112.66666666666669,27.08333333333333,0.5,2.333333333333333,2.0,0.25,0.0,127.75,35.75,0.25666666666666665,0.8333333333333334,0.16666666666666666,0.11083333333333334,130.75,38.75,2.0,7.0,3.583333333333333,2.75,112.33333333333331,38.66666666666666,4.666666666666667,2.083333333333333,94.58333333333331,26.41666666666667,0.16666666666666666,11.666666666666664,9.0,0.08333333333333333,0.0,120.58333333333331,43.5,0.39333333333333337,3.6666666666666665,0.25,0.03583333333333333,124.66666666666669,47.0,29.0,668.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,Orthodox,170.18,175.26,135.0,34.0,1
13,Marc Goddard,5,1.0,0.0,0.0,7.0,3.933333333333333,94.46666666666668,33.06666666666667,9.666666666666666,7.2,92.2,32.266666666666666,0.6,7.0,5.333333333333333,1.1333333333333333,0.0,111.13333333333334,44.2,0.38466666666666666,3.0,1.2,0.3033333333333333,129.46666666666667,60.6,6.0,5.0,9.466666666666667,6.466666666666668,66.66666666666667,28.93333333333333,4.133333333333334,3.2666666666666666,59.13333333333333,23.6,0.06666666666666668,11.666666666666664,9.066666666666666,0.4666666666666667,0.0,80.26666666666667,38.66666666666666,0.5253333333333333,3.066666666666667,0.4666666666666667,0.098,94.6,51.93333333333333,38.0,660.8666666666667,3.0,0.0,0.0,3.0,5.0,2.0,0.0,10.0,Orthodox,195.58,200.66,205.0,32.0,1
14,Kevin Sataki,3,3.0,0.0,0.0,11.272727272727273,9.454545454545457,36.09090909090909,16.181818181818183,0.8181818181818182,0.4545454545454545,29.63636363636364,10.727272727272727,0.2727272727272727,9.090909090909092,8.090909090909092,0.09090909090909093,0.0,48.18181818181818,26.09090909090909,0.5372727272727272,1.4545454545454546,0.2727272727272727,0.09090909090909093,53.27272727272727,30.54545454545455,3.0,5.0,12.454545454545455,9.909090909090908,45.36363636363637,19.454545454545453,1.4545454545454546,0.9090909090909092,44.81818181818182,18.363636363636363,0.4545454545454545,5.454545454545454,5.0,0.8181818181818182,0.0,59.27272727272727,30.272727272727273,0.5145454545454545,2.8181818181818183,0.8181818181818182,0.2636363636363636,71.81818181818181,42.36363636363637,21.0,455.7272727272728,0.0,0.0,0.0,1.0,3.0,0.0,2.0,6.0,Orthodox,185.42,200.66,205.0,39.0,1
