,R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Gender
0,Henry Cejudo,Marlon Moraes,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Red,True,Bantamweight,5,0.0,4.0,0.0,9.2,6.0,0.2,0.0,62.6,20.6,2.6,2.0,48.6,11.2,0.8,7.6,5.4,0.4,0.0,65.4,22.6,0.466,0.4,0.8,0.2,0.1,66.4,23.6,4.0,1.0,6.4,4.0,1.0,0.6,51.2,17.4,0.6,0.2,39.6,9.4,0.2,6.8,4.8,0.0,0.0,52.8,18.2,0.23600000000000002,0.0,1.0,0.4,0.1,53.8,19.2,9.0,419.4,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,Orthodox,167.64,170.18,135.0,0.0,4.0,0.0,21.9,16.4,17.0,11.0,75.0,26.5,9.4,6.5,74.2,23.9,0.4,5.3,3.7,1.2,0.0,101.4,44.0,0.466,0.1,5.3,1.9,0.45799999999999996,129.9,69.1,4.0,2.0,13.3,8.8,7.5,5.1,90.5,26.8,0.8,0.3,76.1,17.3,0.1,9.4,6.1,0.0,0.0,98.8,32.2,0.336,0.0,0.9,0.1,0.05,110.5,43.3,27.0,742.6,3.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,Orthodox,162.56,162.56,135.0,31.0,32.0,1
2,Tony Ferguson,Donald Cerrone,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Red,False,Lightweight,3,0.0,3.0,0.0,15.35483870967742,11.32258064516129,6.741935483870968,4.387096774193549,84.74193548387096,38.58064516129032,5.516129032258066,3.806451612903226,67.64516129032258,23.258064516129032,0.6451612903225806,14.0,12.193548387096774,0.935483870967742,0.0967741935483871,97.0,46.774193548387096,0.4961290322580645,0.3548387096774194,2.161290322580645,0.6774193548387096,0.2954838709677419,103.70967741935483,52.548387096774185,8.0,8.0,17.903225806451616,11.870967741935484,8.419354838709678,5.838709677419355,84.54838709677419,38.064516129032256,1.7419354838709675,0.935483870967742,67.64516129032258,25.483870967741932,0.2258064516129032,9.161290322580646,7.483870967741934,0.03225806451612903,0.03225806451612903,94.70967741935483,44.838709677419345,0.4532258064516129,0.0967741935483871,2.096774193548387,0.2258064516129032,0.06354838709677417,100.38709677419355,49.774193548387096,68.0,581.8709677419355,1.0,0.0,0.0,7.0,10.0,6.0,0.0,23.0,Orthodox,185.42,185.42,155.0,0.0,11.0,0.0,13.866666666666667,8.666666666666666,2.8666666666666667,1.7333333333333334,116.13333333333334,49.46666666666667,5.333333333333333,4.266666666666667,96.73333333333332,35.6,0.2,13.733333333333333,11.2,0.3333333333333333,0.13333333333333333,124.33333333333331,55.46666666666667,0.43,1.0,0.9333333333333332,0.4,0.2773333333333333,133.0,63.4,11.0,1.0,14.466666666666667,8.133333333333333,2.8,0.7333333333333333,91.06666666666666,32.2,4.866666666666666,2.8,78.26666666666667,23.2,0.26666666666666666,6.0,4.4,0.3333333333333333,0.13333333333333333,98.73333333333332,35.73333333333333,0.34,0.06666666666666668,2.8666666666666667,0.6666666666666666,0.13133333333333336,102.13333333333334,38.6,33.0,604.4,2.0,0.0,1.0,3.0,3.0,6.0,1.0,14.0,Orthodox,180.34,193.04,155.0,36.0,35.0,1
3,Jimmie Rivera,Petr Yan,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Blue,False,Bantamweight,3,0.0,4.0,0.0,17.0,14.0,13.75,11.0,109.5,48.75,13.0,10.5,116.25,53.75,0.5,3.0,2.5,0.5,0.25,136.25,70.25,0.5499999999999999,0.25,2.5,1.25,0.2875,154.75,86.75,4.0,0.0,12.25,6.0,6.0,3.75,94.25,26.75,1.75,1.25,82.5,21.5,0.25,7.25,4.25,0.0,0.0,102.0,31.75,0.3375,0.0,4.5,0.75,0.0975,104.75,34.25,9.0,652.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,Switch,170.18,170.18,135.0,1.0,0.0,0.0,18.25,10.25,5.875,4.125,104.875,41.0,1.0,0.625,80.5,24.0,0.375,13.0,11.5,0.125,0.0,111.75,45.75,0.36625,0.0,2.25,0.625,0.10375,117.375,50.75,5.0,2.0,20.25,13.375,6.875,5.625,103.125,38.5,0.875,0.75,77.375,20.375,0.125,13.25,11.125,0.0,0.0,110.875,44.875,0.44625,0.0,2.375,0.0,0.0,115.125,48.875,20.0,690.25,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.0,Orthodox,162.56,172.72,135.0,26.0,29.0,1
4,Tai Tuivasa,Blagoy Ivanov,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,False,Heavyweight,3,0.0,1.0,0.0,17.0,14.5,2.5,2.0,201.0,59.5,0.0,0.0,184.5,45.0,0.0,2.0,2.0,0.0,0.0,203.5,61.5,0.31,0.0,0.0,0.0,0.0,204.0,62.0,1.0,1.0,42.5,23.5,0.5,0.5,205.0,89.5,0.0,0.0,152.5,56.5,0.0,10.5,10.0,0.0,0.0,205.5,90.0,0.43,0.0,0.5,0.0,0.0,205.5,90.0,8.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Southpaw,180.34,185.42,250.0,1.0,0.0,0.0,7.75,6.75,11.0,7.25,50.75,24.75,0.5,0.5,50.75,22.75,0.5,3.75,3.0,0.25,0.0,62.25,32.5,0.545,0.0,0.5,0.0,0.0,63.5,32.75,3.0,1.0,6.25,4.75,4.5,3.5,42.75,16.25,7.75,2.75,43.25,14.0,0.25,5.5,3.75,0.75,0.0,55.0,22.5,0.3975,0.0,1.0,0.0,0.0,60.5,27.75,7.0,440.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Southpaw,187.96,190.5,264.0,32.0,26.0,1
6,Aljamain Sterling,Pedro Munhoz,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Red,False,Bantamweight,3,0.0,3.0,0.0,15.0,7.416666666666668,6.083333333333332,3.4166666666666665,84.91666666666667,34.666666666666664,5.083333333333333,3.4166666666666665,66.58333333333333,24.0,0.4166666666666667,14.5,10.083333333333334,0.5833333333333334,0.08333333333333333,96.08333333333331,41.5,0.4991666666666667,0.6666666666666666,2.75,0.5833333333333334,0.2333333333333333,102.66666666666669,47.5,4.0,4.0,13.166666666666664,7.25,2.6666666666666665,1.3333333333333333,103.16666666666669,41.66666666666666,1.6666666666666667,1.1666666666666667,88.83333333333331,32.333333333333336,0.0,5.5,4.583333333333333,0.08333333333333333,0.0,107.5,44.16666666666666,0.4025,0.0,2.1666666666666665,0.5,0.19416666666666668,110.33333333333331,46.5,23.0,495.25,0.0,0.0,0.0,2.0,3.0,3.0,0.0,8.0,Orthodox,167.64,165.1,135.0,0.0,3.0,0.0,25.16666666666667,18.25,14.0,11.083333333333336,72.58333333333333,29.41666666666667,16.083333333333332,11.75,63.0,23.33333333333333,0.0,14.5,10.666666666666666,1.5,0.08333333333333333,102.66666666666669,52.25,0.49,0.75,5.333333333333333,1.75,0.4175,138.33333333333334,85.75,4.0,3.0,8.916666666666666,4.666666666666667,5.75,4.0,51.0,12.916666666666664,1.8333333333333333,1.1666666666666667,43.41666666666666,8.916666666666666,0.25,6.25,4.5,0.8333333333333334,0.08333333333333333,58.58333333333334,18.08333333333333,0.3058333333333333,0.08333333333333333,2.25,1.0833333333333333,0.25166666666666665,80.58333333333333,37.833333333333336,32.0,750.6666666666665,0.0,0.0,0.0,5.0,1.0,3.0,0.0,9.0,Orthodox,170.18,180.34,135.0,32.0,29.0,1
8,Ricardo Lamas,Calvin Kattar,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,False,Featherweight,3,0.0,1.0,0.0,7.25,4.75,1.75,0.5,125.0,50.75,8.75,5.0,122.25,46.5,0.5,6.0,5.0,0.0,0.0,135.5,56.25,0.42,0.0,1.5,0.5,0.165,139.25,59.0,2.0,1.0,20.75,13.25,4.75,2.0,162.5,72.5,0.0,0.0,123.5,42.75,0.0,23.0,18.5,0.0,0.0,167.25,74.5,0.4125,0.0,1.0,0.25,0.125,168.75,75.75,10.0,670.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Orthodox,180.34,182.88,145.0,0.0,1.0,0.0,8.333333333333334,6.7333333333333325,7.2,6.4,54.26666666666666,21.2,6.933333333333334,4.666666666666667,45.93333333333333,15.266666666666667,0.13333333333333333,14.133333333333333,10.266666666666667,0.6666666666666666,0.4,68.4,32.266666666666666,0.478,0.6666666666666666,3.733333333333333,1.0666666666666669,0.3013333333333333,80.0,43.53333333333333,4.0,5.0,9.0,5.8,7.466666666666668,5.133333333333334,59.86666666666667,21.266666666666666,3.466666666666667,2.8666666666666667,56.13333333333333,19.266666666666666,0.2,5.666666666666668,4.2,0.9333333333333332,0.0,70.8,29.266666666666666,0.402,0.4666666666666667,2.0,1.1333333333333333,0.38,88.66666666666669,45.2,34.0,624.0666666666667,1.0,0.0,0.0,3.0,4.0,3.0,0.0,10.0,Orthodox,172.72,180.34,145.0,31.0,37.0,1
10,Bevon Lewis,Darren Stewart,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Blue,False,Middleweight,3,1.0,0.0,0.0,5.428571428571429,4.142857142857143,12.285714285714285,9.142857142857142,37.857142857142854,11.714285714285715,5.142857142857143,3.2857142857142856,45.57142857142857,17.428571428571427,0.2857142857142857,4.285714285714286,2.571428571428572,0.2857142857142857,0.0,55.28571428571429,24.142857142857146,0.4542857142857142,0.0,2.4285714285714284,1.0,0.2414285714285714,65.14285714285714,32.42857142857143,2.0,5.0,5.285714285714286,3.571428571428572,12.285714285714285,8.571428571428571,31.42857142857143,11.428571428571427,2.7142857142857144,1.7142857142857142,38.42857142857143,15.714285714285715,0.0,2.7142857142857144,2.4285714285714284,0.7142857142857143,0.0,46.42857142857143,21.714285714285715,0.4385714285714286,0.7142857142857143,6.2857142857142865,2.2857142857142856,0.28,56.714285714285715,31.0,14.0,488.71428571428567,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Orthodox,182.88,187.96,185.0,1.0,0.0,0.0,9.0,4.0,18.0,12.0,139.0,56.0,0.0,0.0,100.0,27.0,0.0,48.0,37.0,0.0,0.0,157.0,68.0,0.43,0.0,0.0,0.0,0.0,168.0,77.0,0.0,1.0,13.0,5.0,0.0,0.0,88.0,39.0,0.0,0.0,48.0,13.0,1.0,27.0,21.0,0.0,0.0,88.0,39.0,0.44,0.0,0.0,0.0,0.0,91.0,42.0,3.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,200.66,185.0,28.0,28.0,1
11,Eddie Wineland,Grigorii Popov,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Red,False,Bantamweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,6.5,4.333333333333333,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.0,62.45454545454545,28.11111111111111,0.455,0.3333333333333333,2.0,1.0,0.3,86.4,47.04,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,4.714285714285714,3.0,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.0,59.66666666666666,25.0,0.415,0.25,2.375,0.8461538461538461,0.2371428571428572,81.83333333333333,43.0,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,170.18,172.72,135.0,2.0,0.0,0.0,12.75,6.666666666666668,2.6666666666666665,1.75,119.75,31.0,5.333333333333333,3.0,112.66666666666669,27.08333333333333,0.5,2.333333333333333,2.0,0.25,0.0,127.75,35.75,0.25666666666666665,0.0,0.8333333333333334,0.16666666666666666,0.11083333333333334,130.75,38.75,2.0,7.0,14.333333333333336,8.083333333333334,3.583333333333333,2.75,112.33333333333331,38.66666666666666,4.666666666666667,2.083333333333333,94.58333333333331,26.41666666666667,0.16666666666666666,11.666666666666664,9.0,0.08333333333333333,0.0,120.58333333333331,43.5,0.39333333333333337,0.0,3.6666666666666665,0.25,0.03583333333333333,124.66666666666669,47.0,29.0,668.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,Orthodox,170.18,175.26,135.0,35.0,34.0,1
13,Alexander Gustafsson,Anthony Smith,Marc Goddard,2019-06-01,"Stockholm, Sweden",Blue,False,Light Heavyweight,5,1.0,0.0,0.0,9.272727272727273,6.1818181818181825,6.8181818181818175,5.2727272727272725,57.18181818181818,25.90909090909091,2.636363636363636,2.0,53.36363636363637,23.272727272727273,0.4545454545454545,4.0,3.727272727272727,0.4545454545454545,0.18181818181818185,66.63636363636364,33.18181818181818,0.5072727272727273,0.3636363636363637,1.2727272727272727,0.3636363636363637,0.09636363636363636,71.45454545454545,37.63636363636363,3.0,4.0,11.545454545454545,9.090909090909092,9.363636363636363,6.454545454545454,55.09090909090909,26.363636363636363,18.09090909090909,14.636363636363635,57.90909090909091,26.45454545454545,0.18181818181818185,13.090909090909092,11.909090909090908,1.0,0.09090909090909093,82.54545454545455,47.45454545454545,0.4954545454545455,0.09090909090909093,2.9090909090909087,1.4545454545454546,0.3272727272727273,118.1818181818182,80.45454545454545,27.0,625.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,Orthodox,193.04,193.04,205.0,1.0,0.0,0.0,11.933333333333335,6.6,7.0,3.933333333333333,94.46666666666668,33.06666666666667,9.666666666666666,7.2,92.2,32.266666666666666,0.6,7.0,5.333333333333333,1.1333333333333333,0.0,111.13333333333334,44.2,0.38466666666666666,0.3333333333333333,3.0,1.2,0.3033333333333333,129.46666666666667,60.6,6.0,5.0,9.466666666666667,6.0,9.466666666666667,6.466666666666668,66.66666666666667,28.93333333333333,4.133333333333334,3.2666666666666666,59.13333333333333,23.6,0.06666666666666668,11.666666666666664,9.066666666666666,0.4666666666666667,0.0,80.26666666666667,38.66666666666666,0.5253333333333333,0.13333333333333333,3.066666666666667,0.4666666666666667,0.098,94.6,51.93333333333333,38.0,660.8666666666667,3.0,0.0,0.0,3.0,5.0,2.0,0.0,10.0,Orthodox,195.58,200.66,205.0,30.0,32.0,1
14,Jimi Manuwa,Aleksandar Rakic,Kevin Sataki,2019-06-01,"Stockholm, Sweden",Blue,False,Light Heavyweight,3,0.0,3.0,0.0,10.333333333333334,8.333333333333334,6.666666666666668,4.666666666666667,68.33333333333333,26.33333333333333,38.0,29.33333333333333,86.66666666666669,40.66666666666666,0.6666666666666666,16.0,11.333333333333336,1.3333333333333333,0.0,113.0,60.33333333333334,0.5666666666666667,0.0,1.6666666666666667,1.0,0.25,181.0,123.66666666666669,3.0,0.0,1.6666666666666667,0.0,3.333333333333333,3.0,30.66666666666667,12.333333333333336,3.333333333333333,3.0,29.66666666666667,13.666666666666664,0.3333333333333333,6.0,4.666666666666667,0.3333333333333333,0.0,37.333333333333336,18.33333333333333,0.5,0.0,5.666666666666668,0.6666666666666666,0.04666666666666667,49.0,29.33333333333333,7.0,681.6666666666666,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,Orthodox,193.04,198.12,205.0,3.0,0.0,0.0,9.454545454545457,7.272727272727272,11.272727272727273,9.454545454545457,36.09090909090909,16.181818181818183,0.8181818181818182,0.4545454545454545,29.63636363636364,10.727272727272727,0.2727272727272727,9.090909090909092,8.090909090909092,0.09090909090909093,0.0,48.18181818181818,26.09090909090909,0.5372727272727272,0.18181818181818185,1.4545454545454546,0.2727272727272727,0.09090909090909093,53.27272727272727,30.54545454545455,3.0,5.0,9.0,6.909090909090909,12.454545454545455,9.909090909090908,45.36363636363637,19.454545454545453,1.4545454545454546,0.9090909090909092,44.81818181818182,18.363636363636363,0.4545454545454545,5.454545454545454,5.0,0.8181818181818182,0.0,59.27272727272727,30.272727272727273,0.5145454545454545,0.0,2.8181818181818183,0.8181818181818182,0.2636363636363636,71.81818181818181,42.36363636363637,21.0,455.7272727272728,0.0,0.0,0.0,1.0,3.0,0.0,2.0,6.0,Orthodox,185.42,200.66,205.0,27.0,39.0,1
