,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Weight_lbs,B_age,Gender
0,5,0.0,4.0,0.0,9.2,6.0,0.2,0.0,62.6,20.6,48.6,11.2,0.8,7.6,5.4,0.4,0.4,0.8,0.2,0.1,4.0,1.0,6.4,4.0,1.0,0.6,51.2,17.4,39.6,9.4,0.2,6.8,4.8,0.0,0.0,1.0,0.4,0.1,9.0,419.4,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,167.64,135.0,31.0,1
2,3,0.0,3.0,0.0,15.35483870967742,11.32258064516129,6.741935483870968,4.387096774193549,84.74193548387096,38.58064516129032,67.64516129032258,23.258064516129032,0.6451612903225806,14.0,12.193548387096774,0.935483870967742,0.3548387096774194,2.161290322580645,0.6774193548387096,0.2954838709677419,8.0,8.0,17.903225806451616,11.870967741935484,8.419354838709678,5.838709677419355,84.54838709677419,38.064516129032256,67.64516129032258,25.483870967741932,0.2258064516129032,9.161290322580646,7.483870967741934,0.03225806451612903,0.0967741935483871,2.096774193548387,0.2258064516129032,0.06354838709677417,68.0,581.8709677419355,1.0,0.0,0.0,7.0,10.0,6.0,0.0,23.0,185.42,155.0,36.0,1
3,3,0.0,4.0,0.0,17.0,14.0,13.75,11.0,109.5,48.75,116.25,53.75,0.5,3.0,2.5,0.5,0.25,2.5,1.25,0.2875,4.0,0.0,12.25,6.0,6.0,3.75,94.25,26.75,82.5,21.5,0.25,7.25,4.25,0.0,0.0,4.5,0.75,0.0975,9.0,652.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,170.18,135.0,26.0,1
4,3,0.0,1.0,0.0,17.0,14.5,2.5,2.0,201.0,59.5,184.5,45.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.5,23.5,0.5,0.5,205.0,89.5,152.5,56.5,0.0,10.5,10.0,0.0,0.0,0.5,0.0,0.0,8.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,180.34,250.0,32.0,1
6,3,0.0,3.0,0.0,15.0,7.416666666666668,6.083333333333332,3.4166666666666665,84.91666666666667,34.666666666666664,66.58333333333333,24.0,0.4166666666666667,14.5,10.083333333333334,0.5833333333333334,0.6666666666666666,2.75,0.5833333333333334,0.2333333333333333,4.0,4.0,13.166666666666664,7.25,2.6666666666666665,1.3333333333333333,103.16666666666669,41.66666666666666,88.83333333333331,32.333333333333336,0.0,5.5,4.583333333333333,0.08333333333333333,0.0,2.1666666666666665,0.5,0.19416666666666668,23.0,495.25,0.0,0.0,0.0,2.0,3.0,3.0,0.0,8.0,167.64,135.0,32.0,1
8,3,0.0,1.0,0.0,7.25,4.75,1.75,0.5,125.0,50.75,122.25,46.5,0.5,6.0,5.0,0.0,0.0,1.5,0.5,0.165,2.0,1.0,20.75,13.25,4.75,2.0,162.5,72.5,123.5,42.75,0.0,23.0,18.5,0.0,0.0,1.0,0.25,0.125,10.0,670.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,180.34,145.0,31.0,1
10,3,1.0,0.0,0.0,5.428571428571429,4.142857142857143,12.285714285714285,9.142857142857142,37.857142857142854,11.714285714285715,45.57142857142857,17.428571428571427,0.2857142857142857,4.285714285714286,2.571428571428572,0.2857142857142857,0.0,2.4285714285714284,1.0,0.2414285714285714,2.0,5.0,5.285714285714286,3.571428571428572,12.285714285714285,8.571428571428571,31.42857142857143,11.428571428571427,38.42857142857143,15.714285714285715,0.0,2.7142857142857144,2.4285714285714284,0.7142857142857143,0.7142857142857143,6.2857142857142865,2.2857142857142856,0.28,14.0,488.71428571428567,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,182.88,185.0,28.0,1
11,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.18,135.0,35.0,1
13,5,1.0,0.0,0.0,9.272727272727273,6.1818181818181825,6.8181818181818175,5.2727272727272725,57.18181818181818,25.90909090909091,53.36363636363637,23.272727272727273,0.4545454545454545,4.0,3.727272727272727,0.4545454545454545,0.3636363636363637,1.2727272727272727,0.3636363636363637,0.09636363636363636,3.0,4.0,11.545454545454545,9.090909090909092,9.363636363636363,6.454545454545454,55.09090909090909,26.363636363636363,57.90909090909091,26.45454545454545,0.18181818181818185,13.090909090909092,11.909090909090908,1.0,0.09090909090909093,2.9090909090909087,1.4545454545454546,0.3272727272727273,27.0,625.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,193.04,205.0,30.0,1
14,3,0.0,3.0,0.0,10.333333333333334,8.333333333333334,6.666666666666668,4.666666666666667,68.33333333333333,26.33333333333333,86.66666666666669,40.66666666666666,0.6666666666666666,16.0,11.333333333333336,1.3333333333333333,0.0,1.6666666666666667,1.0,0.25,3.0,0.0,1.6666666666666667,0.0,3.333333333333333,3.0,30.66666666666667,12.333333333333336,29.66666666666667,13.666666666666664,0.3333333333333333,6.0,4.666666666666667,0.3333333333333333,0.0,5.666666666666668,0.6666666666666666,0.04666666666666667,7.0,681.6666666666666,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,193.04,205.0,27.0,1
